TaskID,StartTime,EndTime,Duration(min),TaskName,FocusLevel
1,2025-07-24 09:42:23,2025-07-24 09:42:23,0.0,"TOUCH FISH",LOW
2,2025-07-24 09:42:23,2025-07-24 09:50:42,8.3,"make today's plan",LOW
3,2025-07-24 09:50:42,2025-07-24 10:11:09,20.4,"test socket demo",LOW
4,2025-07-24 10:11:09,2025-07-24 10:24:35,13.4,"shitting",LOW
5,2025-07-24 10:24:35,2025-07-24 11:10:24,45.8,"TOUCH FISH",LOW
6,2025-07-24 11:10:24,2025-07-24 11:21:08,10.7,"Dream piggy bank",LOW
7,2025-07-24 11:21:08,2025-07-24 12:13:56,52.8,"socket learning",LOW
8,2025-07-24 12:13:56,2025-07-24 13:33:48,79.9,"noon break",LOW
9,2025-07-24 13:33:48,2025-07-24 14:04:10,30.4,"weidongshan Linux learning",MEDIUM
10,2025-07-24 14:04:10,2025-07-24 15:18:39,74.5,"USB program",HIGH
11,2025-07-24 15:18:39,2025-07-24 16:31:44,73.1,"GAMING",LOW
12,2025-07-24 16:31:44,2025-07-24 17:17:14,45.5,"GAMING",LOW
13,2025-07-24 17:17:14,2025-07-24 17:39:56,22.7,"accounting",LOW
